date | value
2023-06-28 | 123.45
2022-01-01 | 1
2021-12-31 | 9999.99
2020-02-29 | 0.5
2019-07-15 | 100
2018-11-30 | 0.01
2017-01-01 | 123456
2016-02-29 | 42
2015-12-24 | 0
2014-07-04 | 314.15
2013-03-15 | 2718
2012-02-29 | 3.14
2011-11-11 | 11.11
2010-10-10 | 10
2009-09-09 | 9.99
2008-08-08 | 8.8
2007-07-07 | 7
2006-06-06 | 6.66
2005-05-05 | 5.55
2004-04-04 | 4.44
2003-03-03 | 3.33
2002-02-02 | 2.22
2001-01-01 | 1.11
2023-06-28 | 123.4522312344
2022-01-01 | 1
2021-12-31 | 9999.99
2020-02-29 | 0.5
2019-07-15 | 100
2018-11-30 | 0.01
2017-01-01 | 123456
